 ,Area,Mean,Slice,microns
1,143139.336,487.209,1,0
2,143139.336,479.740,2,1
3,143139.336,481.207,3,2
4,143139.336,480.188,4,3
5,143139.336,477.960,5,4
6,143139.336,475.631,6,5
7,143139.336,474.627,7,6
8,143139.336,473.248,8,7
9,143139.336,471.740,9,8
10,143139.336,471.788,10,9
11,143139.336,471.755,11,10
12,143139.336,470.352,12,11
13,143139.336,471.306,13,12
14,143139.336,470.705,14,13
15,143139.336,470.527,15,14
16,143139.336,470.021,16,15
17,143139.336,472.882,17,16
18,143139.336,473.614,18,17
19,143139.336,473.681,19,18
20,143139.336,473.368,20,19
21,143139.336,475.341,21,20
22,143139.336,475.588,22,21
23,143139.336,475.916,23,22
24,143139.336,475.824,24,23
25,143139.336,475.775,25,24
26,143139.336,475.393,26,25
27,143139.336,474.056,27,26
28,143139.336,473.030,28,27
29,143139.336,469.558,29,28
30,143139.336,465.447,30,29
31,143139.336,462.166,31,30
32,143139.336,456.972,32,31
33,143139.336,460.204,33,32
34,143139.336,460.113,34,33
35,143139.336,459.304,35,34
36,143139.336,459.382,36,35
37,143139.336,458.066,37,36
38,143139.336,455.892,38,37
39,143139.336,454.759,39,38
40,143139.336,454.913,40,39
41,143139.336,452.094,41,40
42,143139.336,450.365,42,41
43,143139.336,448.601,43,42
44,143139.336,448.177,44,43
45,143139.336,446.482,45,44
46,143139.336,445.362,46,45
47,143139.336,443.636,47,46
48,143139.336,440.051,48,47
49,143139.336,440.465,49,48
50,143139.336,441.063,50,49
51,143139.336,441.552,51,50
52,143139.336,441.564,52,51
53,143139.336,442.850,53,52
54,143139.336,444.296,54,53
55,143139.336,445.856,55,54
56,143139.336,445.922,56,55
57,143139.336,444.944,57,56
58,143139.336,446.192,58,57
59,143139.336,446.738,59,58
60,143139.336,447.041,60,59
61,143139.336,446.962,61,60
62,143139.336,446.817,62,61
63,143139.336,445.316,63,62
64,143139.336,445.503,64,63
65,143139.336,444.523,65,64
66,143139.336,444.217,66,65
67,143139.336,442.587,67,66
68,143139.336,442.178,68,67
69,143139.336,441.266,69,68
70,143139.336,441.265,70,69
71,143139.336,440.696,71,70
72,143139.336,441.260,72,71
73,143139.336,441.188,73,72
74,143139.336,440.704,74,73
75,143139.336,440.724,75,74
76,143139.336,439.491,76,75
77,143139.336,437.735,77,76
78,143139.336,437.577,78,77
79,143139.336,437.330,79,78
80,143139.336,435.806,80,79
81,143139.336,434.614,81,80
82,143139.336,434.060,82,81
83,143139.336,434.923,83,82
84,143139.336,434.023,84,83
85,143139.336,434.475,85,84
86,143139.336,433.989,86,85
87,143139.336,434.176,87,86
88,143139.336,434.526,88,87
89,143139.336,434.287,89,88
90,143139.336,434.609,90,89
91,143139.336,434.752,91,90
92,143139.336,434.158,92,91
93,143139.336,434.885,93,92
94,143139.336,432.394,94,93
95,143139.336,432.433,95,94
96,143139.336,432.782,96,95
97,143139.336,432.440,97,96
98,143139.336,431.972,98,97
99,143139.336,431.340,99,98
100,143139.336,431.662,100,99
101,143139.336,432.825,101,100
102,143139.336,431.932,102,101
103,143139.336,436.083,103,102
104,143139.336,434.750,104,103
105,143139.336,432.272,105,104
106,143139.336,432.445,106,105
107,143139.336,431.645,107,106
108,143139.336,431.519,108,107
109,143139.336,431.094,109,108
110,143139.336,430.379,110,109
111,143139.336,429.629,111,110
112,143139.336,427.652,112,111
113,143139.336,425.776,113,112
114,143139.336,423.303,114,113
115,143139.336,420.698,115,114
116,143139.336,419.193,116,115
117,143139.336,417.788,117,116
118,143139.336,417.631,118,117
119,143139.336,417.213,119,118
120,143139.336,416.117,120,119
121,143139.336,414.716,121,120
122,143139.336,416.097,122,121
123,143139.336,417.480,123,122
124,143139.336,416.533,124,123
125,143139.336,415.998,125,124
126,143139.336,415.242,126,125
127,143139.336,415.231,127,126
128,143139.336,414.397,128,127
129,143139.336,414.684,129,128
130,143139.336,414.913,130,129
131,143139.336,413.710,131,130
132,143139.336,413.282,132,131
133,143139.336,413.417,133,132
134,143139.336,413.099,134,133
135,143139.336,412.472,135,134
136,143139.336,413.177,136,135
137,143139.336,412.617,137,136
138,143139.336,412.082,138,137
139,143139.336,411.712,139,138
140,143139.336,411.646,140,139
141,143139.336,412.178,141,140
142,143139.336,415.975,142,141
143,143139.336,417.346,143,142
144,143139.336,420.019,144,143
145,143139.336,420.618,145,144
146,143139.336,420.638,146,145
147,143139.336,422.916,147,146
148,143139.336,423.071,148,147
149,143139.336,423.418,149,148
150,143139.336,423.394,150,149
151,143139.336,422.070,151,150
152,143139.336,421.703,152,151
153,143139.336,420.229,153,152
154,143139.336,419.635,154,153
155,143139.336,417.282,155,154
156,143139.336,418.305,156,155
157,143139.336,417.716,157,156
158,143139.336,418.416,158,157
159,143139.336,417.473,159,158
160,143139.336,417.781,160,159
161,143139.336,417.946,161,160
162,143139.336,416.286,162,161
163,143139.336,416.015,163,162
164,143139.336,414.702,164,163
165,143139.336,415.222,165,164
166,143139.336,414.588,166,165
167,143139.336,414.135,167,166
168,143139.336,414.464,168,167
169,143139.336,413.612,169,168
170,143139.336,414.313,170,169
171,143139.336,415.567,171,170
172,143139.336,414.537,172,171
173,143139.336,414.728,173,172
174,143139.336,414.636,174,173
175,143139.336,413.586,175,174
176,143139.336,412.433,176,175
177,143139.336,413.286,177,176
178,143139.336,411.374,178,177
179,143139.336,411.670,179,178
180,143139.336,411.892,180,179
181,143139.336,411.721,181,180
182,143139.336,411.386,182,181
183,143139.336,412.084,183,182
184,143139.336,412.086,184,183
185,143139.336,411.620,185,184
186,143139.336,410.845,186,185
187,143139.336,409.439,187,186
188,143139.336,410.170,188,187
189,143139.336,410.595,189,188
190,143139.336,410.184,190,189
191,143139.336,410.341,191,190
192,143139.336,409.187,192,191
193,143139.336,409.549,193,192
194,143139.336,409.731,194,193
195,143139.336,409.666,195,194
196,143139.336,409.400,196,195
197,143139.336,408.902,197,196
198,143139.336,408.807,198,197
199,143139.336,408.626,199,198
200,143139.336,408.429,200,199
201,143139.336,408.263,201,200
202,143139.336,407.648,202,201
203,143139.336,407.139,203,202
204,143139.336,407.266,204,203
205,143139.336,407.437,205,204
206,143139.336,407.422,206,205
207,143139.336,406.834,207,206
208,143139.336,407.340,208,207
209,143139.336,407.257,209,208
210,143139.336,407.074,210,209
211,143139.336,406.507,211,210
212,143139.336,405.893,212,211
213,143139.336,406.587,213,212
214,143139.336,406.747,214,213
215,143139.336,405.890,215,214
216,143139.336,405.487,216,215
217,143139.336,405.488,217,216
218,143139.336,405.798,218,217
219,143139.336,405.656,219,218
220,143139.336,405.920,220,219
221,143139.336,405.474,221,220
222,143139.336,405.904,222,221
223,143139.336,405.110,223,222
224,143139.336,405.221,224,223
225,143139.336,405.336,225,224
226,143139.336,405.952,226,225
227,143139.336,405.743,227,226
228,143139.336,405.557,228,227
229,143139.336,405.110,229,228
230,143139.336,405.779,230,229
231,143139.336,405.928,231,230
232,143139.336,405.139,232,231
233,143139.336,406.113,233,232
234,143139.336,407.027,234,233
235,143139.336,406.922,235,234
236,143139.336,407.258,236,235
237,143139.336,408.477,237,236
238,143139.336,407.546,238,237
239,143139.336,407.958,239,238
240,143139.336,407.123,240,239
241,143139.336,407.444,241,240
242,143139.336,408.259,242,241
243,143139.336,408.792,243,242
244,143139.336,408.901,244,243
245,143139.336,408.077,245,244
246,143139.336,408.385,246,245
247,143139.336,409.149,247,246
248,143139.336,408.763,248,247
249,143139.336,408.646,249,248
250,143139.336,408.637,250,249
251,143139.336,408.043,251,250
252,143139.336,407.284,252,251
253,143139.336,407.824,253,252
254,143139.336,408.125,254,253
255,143139.336,409.165,255,254
256,143139.336,409.446,256,255
257,143139.336,409.376,257,256
258,143139.336,408.679,258,257
259,143139.336,408.684,259,258
260,143139.336,408.514,260,259
261,143139.336,408.409,261,260
262,143139.336,408.600,262,261
263,143139.336,408.779,263,262
264,143139.336,409.036,264,263
265,143139.336,408.942,265,264
266,143139.336,408.032,266,265
267,143139.336,406.478,267,266
268,143139.336,403.789,268,267
269,143139.336,402.261,269,268
270,143139.336,399.499,270,269
271,143139.336,396.716,271,270
272,143139.336,397.341,272,271
273,143139.336,395.424,273,272
274,143139.336,398.717,274,273
275,143139.336,398.892,275,274
276,143139.336,399.756,276,275
277,143139.336,398.722,277,276
278,143139.336,399.038,278,277
279,143139.336,399.074,279,278
280,143139.336,399.752,280,279
281,143139.336,399.575,281,280
282,143139.336,400.496,282,281
283,143139.336,402.136,283,282
284,143139.336,402.286,284,283
285,143139.336,401.793,285,284
286,143139.336,403.177,286,285
287,143139.336,403.849,287,286
288,143139.336,406.441,288,287
289,143139.336,408.251,289,288
290,143139.336,409.454,290,289
291,143139.336,410.910,291,290
292,143139.336,412.068,292,291
293,143139.336,414.330,293,292
294,143139.336,416.033,294,293
295,143139.336,417.678,295,294
296,143139.336,418.476,296,295
297,143139.336,418.752,297,296
298,143139.336,418.791,298,297
299,143139.336,420.070,299,298
300,143139.336,419.686,300,299
301,143139.336,420.050,301,300
302,143139.336,421.802,302,301
303,143139.336,420.893,303,302
304,143139.336,421.156,304,303
305,143139.336,421.565,305,304
306,143139.336,423.212,306,305
307,143139.336,423.660,307,306
308,143139.336,424.881,308,307
309,143139.336,424.792,309,308
310,143139.336,424.462,310,309
311,143139.336,425.229,311,310
312,143139.336,426.074,312,311
313,143139.336,426.154,313,312
314,143139.336,427.215,314,313
315,143139.336,428.051,315,314
316,143139.336,430.151,316,315
317,143139.336,430.692,317,316
318,143139.336,431.708,318,317
319,143139.336,432.995,319,318
320,143139.336,434.775,320,319
321,143139.336,434.950,321,320
322,143139.336,435.600,322,321
323,143139.336,436.985,323,322
324,143139.336,437.210,324,323
325,143139.336,438.233,325,324
326,143139.336,439.532,326,325
327,143139.336,439.294,327,326
328,143139.336,440.033,328,327
329,143139.336,437.223,329,328
330,143139.336,437.608,330,329
331,143139.336,438.619,331,330
332,143139.336,439.556,332,331
333,143139.336,440.262,333,332
334,143139.336,440.271,334,333
335,143139.336,444.796,335,334
336,143139.336,445.822,336,335
337,143139.336,444.907,337,336
338,143139.336,446.486,338,337
339,143139.336,446.863,339,338
340,143139.336,447.560,340,339
341,143139.336,448.097,341,340
342,143139.336,448.470,342,341
343,143139.336,449.379,343,342
344,143139.336,449.539,344,343
345,143139.336,450.233,345,344
346,143139.336,451.766,346,345
347,143139.336,453.504,347,346
348,143139.336,453.292,348,347
349,143139.336,452.585,349,348
350,143139.336,452.747,350,349
351,143139.336,453.236,351,350
352,143139.336,455.415,352,351
353,143139.336,456.152,353,352
354,143139.336,456.200,354,353
355,143139.336,457.309,355,354
356,143139.336,457.258,356,355
357,143139.336,456.978,357,356
358,143139.336,457.817,358,357
359,143139.336,458.099,359,358
360,143139.336,458.154,360,359
361,143139.336,458.515,361,360
362,143139.336,459.205,362,361
363,143139.336,460.371,363,362
364,143139.336,461.664,364,363
365,143139.336,461.233,365,364
366,143139.336,460.051,366,365
367,143139.336,460.166,367,366
368,143139.336,462.066,368,367
369,143139.336,461.720,369,368
370,143139.336,462.236,370,369
371,143139.336,462.813,371,370
372,143139.336,463.898,372,371
373,143139.336,464.691,373,372
374,143139.336,465.157,374,373
375,143139.336,464.510,375,374
376,143139.336,464.090,376,375
377,143139.336,463.858,377,376
378,143139.336,463.505,378,377
379,143139.336,462.845,379,378
380,143139.336,462.211,380,379
381,143139.336,462.098,381,380
382,143139.336,462.703,382,381
383,143139.336,463.922,383,382
384,143139.336,461.763,384,383
385,143139.336,461.568,385,384
386,143139.336,462.811,386,385
387,143139.336,462.891,387,386
388,143139.336,462.293,388,387
389,143139.336,464.039,389,388
390,143139.336,463.978,390,389
391,143139.336,464.803,391,390
392,143139.336,465.133,392,391
393,143139.336,464.479,393,392
394,143139.336,465.572,394,393
395,143139.336,464.653,395,394
396,143139.336,464.163,396,395
397,143139.336,466.225,397,396
398,143139.336,466.079,398,397
399,143139.336,465.878,399,398
400,143139.336,464.287,400,399
401,143139.336,462.484,401,400
402,143139.336,462.977,402,401
403,143139.336,462.192,403,402
404,143139.336,463.128,404,403
405,143139.336,462.779,405,404
406,143139.336,460.751,406,405
407,143139.336,457.221,407,406
408,143139.336,453.535,408,407
409,143139.336,450.096,409,408
410,143139.336,451.118,410,409
411,143139.336,450.279,411,410
412,143139.336,451.545,412,411
413,143139.336,449.295,413,412
414,143139.336,449.750,414,413
415,143139.336,450.890,415,414
416,143139.336,450.975,416,415
417,143139.336,451.035,417,416
418,143139.336,448.622,418,417
419,143139.336,449.695,419,418
420,143139.336,449.392,420,419
421,143139.336,450.844,421,420
422,143139.336,451.608,422,421
