 ,Area
1,167.242
2,127.720
3,152.265
4,458.876
5,353.622
6,184.715
7,117.319
8,287.473
9,219.661
10,234.222
11,273.745
12,231.310
13,523.360
14,211.341
15,115.239
16,151.433
17,188.875
18,250.863
19,232.974
20,421.850
21,497.566
22,164.746
23,329.076
24,165.994
25,252.943
26,250.863
27,92.774
28,252.943
29,303.282
30,89.029
31,106.919
32,142.697
33,211.341
34,100.678
35,163.914
36,185.547
37,376.087
38,290.802
39,152.681
40,193.868
41,118.151
42,266.672
43,197.612
44,274.577
45,153.929
46,128.552
47,169.738
48,279.569
49,319.507
50,150.601
51,168.490
52,179.723
53,281.649
54,160.170
55,99.014
56,178.475
57,249.199
58,272.913
59,123.560
60,645.671
61,221.325
62,633.191
63,249.199
64,153.097
65,272.081
66,173.483
67,530.848
68,297.042
69,196.364
70,173.899
71,554.562
72,260.848
73,245.039
74,247.951
75,195.532
76,153.513
77,383.575
78,141.449
79,129.384
80,319.923
81,181.803
82,248.783
83,125.640
84,140.617
85,308.691
86,188.459
87,416.857
88,147.273
89,158.090
90,197.612
91,138.120
92,218.413
93,212.173
94,278.737
95,138.120
96,158.922
97,297.874
98,361.110
99,421.018
100,233.806
101,198.444
102,238.799
103,183.467
104,180.971
105,402.713
106,119.815
107,194.700
108,146.441
