 ,Area,Mean,Slice,microns
1,143139.336,493.459,1,0
2,143139.336,481.862,2,1
3,143139.336,476.238,3,2
4,143139.336,470.839,4,3
5,143139.336,466.877,5,4
6,143139.336,465.538,6,5
7,143139.336,462.427,7,6
8,143139.336,461.053,8,7
9,143139.336,460.475,9,8
10,143139.336,459.317,10,9
11,143139.336,459.764,11,10
12,143139.336,462.794,12,11
13,143139.336,464.599,13,12
14,143139.336,465.649,14,13
15,143139.336,468.049,15,14
16,143139.336,468.179,16,15
17,143139.336,469.089,17,16
18,143139.336,468.763,18,17
19,143139.336,469.130,19,18
20,143139.336,467.424,20,19
21,143139.336,467.184,21,20
22,143139.336,465.157,22,21
23,143139.336,464.523,23,22
24,143139.336,464.317,24,23
25,143139.336,461.638,25,24
26,143139.336,458.918,26,25
27,143139.336,462.742,27,26
28,143139.336,462.912,28,27
29,143139.336,462.219,29,28
30,143139.336,462.450,30,29
31,143139.336,460.800,31,30
32,143139.336,460.778,32,31
33,143139.336,461.213,33,32
34,143139.336,460.474,34,33
35,143139.336,461.564,35,34
36,143139.336,459.770,36,35
37,143139.336,459.235,37,36
38,143139.336,459.745,38,37
39,143139.336,460.069,39,38
40,143139.336,458.797,40,39
41,143139.336,458.696,41,40
42,143139.336,459.338,42,41
43,143139.336,459.131,43,42
44,143139.336,460.588,44,43
45,143139.336,460.038,45,44
46,143139.336,458.388,46,45
47,143139.336,458.085,47,46
48,143139.336,460.219,48,47
49,143139.336,459.800,49,48
50,143139.336,459.878,50,49
51,143139.336,459.764,51,50
52,143139.336,459.483,52,51
53,143139.336,457.769,53,52
54,143139.336,457.094,54,53
55,143139.336,455.724,55,54
56,143139.336,454.532,56,55
57,143139.336,452.780,57,56
58,143139.336,450.050,58,57
59,143139.336,448.378,59,58
60,143139.336,444.803,60,59
61,143139.336,440.404,61,60
62,143139.336,439.884,62,61
63,143139.336,438.465,63,62
64,143139.336,440.271,64,63
65,143139.336,437.604,65,64
66,143139.336,438.616,66,65
67,143139.336,437.206,67,66
68,143139.336,437.355,68,67
69,143139.336,435.218,69,68
70,143139.336,436.313,70,69
71,143139.336,438.148,71,70
72,143139.336,436.367,72,71
73,143139.336,437.394,73,72
74,143139.336,435.734,74,73
75,143139.336,436.596,75,74
76,143139.336,435.006,76,75
77,143139.336,434.635,77,76
78,143139.336,434.081,78,77
79,143139.336,436.183,79,78
80,143139.336,438.575,80,79
81,143139.336,440.580,81,80
82,143139.336,443.260,82,81
83,143139.336,446.959,83,82
84,143139.336,447.371,84,83
85,143139.336,448.505,85,84
86,143139.336,449.202,86,85
87,143139.336,448.186,87,86
88,143139.336,447.315,88,87
89,143139.336,446.150,89,88
90,143139.336,443.671,90,89
91,143139.336,443.174,91,90
92,143139.336,445.986,92,91
93,143139.336,446.369,93,92
94,143139.336,446.700,94,93
95,143139.336,447.086,95,94
96,143139.336,447.207,96,95
97,143139.336,446.428,97,96
98,143139.336,443.876,98,97
99,143139.336,440.723,99,98
100,143139.336,438.007,100,99
101,143139.336,435.229,101,100
102,143139.336,432.857,102,101
103,143139.336,430.908,103,102
104,143139.336,433.195,104,103
105,143139.336,430.956,105,104
106,143139.336,429.879,106,105
107,143139.336,429.606,107,106
108,143139.336,429.386,108,107
109,143139.336,428.430,109,108
110,143139.336,427.970,110,109
111,143139.336,428.722,111,110
112,143139.336,431.275,112,111
113,143139.336,434.994,113,112
114,143139.336,439.711,114,113
