 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90,Mean91,Mean92,Mean93,Mean94,Mean95,Mean96,Mean97,Mean98,Mean99,Mean100,Mean101,Mean102,Mean103,Mean104,Mean105,Mean106,Mean107,Mean108,Mean109,Mean110,Mean111,Mean112,Mean113,Mean114,Mean115,Mean116,Mean117,Mean118,Mean119,Mean120,Mean121,Mean122,Mean123,Mean124,Mean125,Mean126,Mean127
1,26.41,13.69,30.39,22.22,64.28,27.51,47.88,32.13,39.53,11.52,31.57,55.32,35.99,12.93,12.65,14.95,87.06,42.85,42.85,22.52,22.97,39.28,11.39,15.30,19.62,72.66,43.71,11.08,32.85,31.26,32.02,10.83,65.18,61.43,11.05,18.57,14.66,33.49,14.75,7.48,62.27,119.41,33.96,57.83,23.54,21.71,15.05,43.26,36.98,17.18,16.49,38.36,15.02,14.75,21.10,14.44,11.43,16.09,38.99,22.07,38.26,14.97,15.28,14.00,19.30,35.87,24.93,22.61,63.86,44.49,63.65,10.98,29.31,45.40,16.99,71.22,36.56,34.91,30.03,53.20,36.10,23.10,11.41,30.20,17.27,42.72,46.89,49.07,25.71,33.08,17.23,50.80,49.81,30.74,7.64,23.93,38.01,20.45,8.24,14.76,47.21,26.61,11.58,26.76,27.23,14.59,12.12,45.76,32.08,8.78,18.50,65.09,22.02,36.34,75.45,25.09,15.77,13.37,30.82,37.99,33.30,18.41,30.42,48.35,18.54,12.59,21.53
2,18.99,13.26,39.92,30.62,58.59,32.76,49.31,30.92,36.76,11.98,32.09,35.97,17.87,13.73,12.89,12.66,90.06,36.06,36.06,28.97,27.93,30.87,9.60,38.02,32.22,47.98,38.20,11.82,33.28,25.06,34.99,7.45,67.26,59.82,8.29,26.66,17.36,26.85,20.86,9.71,46.63,130.50,37.14,84.23,55.68,31.90,14.14,40.05,27.90,20.58,15.97,24.01,12.10,16.07,20.15,23.82,15.88,12.64,44.32,14.11,40.71,9.50,25.73,15.47,12.89,45.18,22.85,18.80,50.31,33.67,23.84,14.72,28.50,27.63,18.32,44.30,32.08,35.88,35.31,43.91,26.17,20.60,10.39,32.16,10.68,45.25,19.72,76.93,79.94,49.06,27.20,52.00,53.58,26.44,9.22,18.45,42.43,23.34,7.38,16.34,38.03,17.22,13.84,25.33,61.07,13.28,13.94,40.07,20.27,13.22,24.59,66.05,31.39,51.36,55.70,26.74,18.65,16.58,24.36,37.76,39.85,18.48,27.87,47.24,18.99,13.90,24.43
3,22.84,14.57,40.09,40.87,63.71,32.34,56.35,34.84,45.59,12.77,35.76,41.80,27.03,16.62,18.47,13.58,67.49,33.70,33.70,32.36,29.75,32.78,10.38,29.12,28.85,84.40,32.24,10.29,30.42,26.98,32.75,5.07,72.06,78.66,10.64,21.39,23.12,36.89,17.18,9.55,31.64,51.97,81.12,72.68,55.24,32.41,17.14,40.32,32.21,39.07,17.72,23.27,12.95,17.43,23.89,22.33,22.80,13.75,23.56,15.78,45.79,10.49,14.52,14.96,16.03,49.15,22.19,22.74,52.30,41.94,38.70,13.55,29.57,33.48,15.80,59.30,26.75,42.93,47.81,56.06,35.09,22.78,12.38,26.63,19.54,44.94,23.92,78.66,48.57,41.86,24.04,43.50,49.38,20.06,6.58,24.84,32.20,30.54,7.62,9.39,39.05,28.72,14.07,34.64,25.12,13.91,15.75,40.27,15.05,13.14,25.15,60.57,26.10,65.50,47.54,24.72,17.52,20.96,40.48,30.60,38.24,15.63,27.78,52.01,23.35,21.55,22.97
4,28.34,15.87,43.50,29.56,62.94,30.53,57.88,38.61,43.24,16.50,42.58,37.41,24.98,17.99,13.86,18.07,56.10,25.85,25.85,43.38,31.37,27.90,11.72,36.01,33.88,86.83,33.22,11.04,29.96,32.93,41.56,5.60,79.06,66.96,10.54,21.58,29.63,52.79,19.22,10.74,44.25,81.30,72.80,109.71,145.50,14.89,16.36,31.89,51.23,25.88,19.38,27.31,15.24,14.72,27.04,30.14,20.01,18.22,26.25,13.70,45.86,8.88,25.46,13.02,15.16,43.83,23.29,20.07,49.39,47.41,28.85,12.73,30.63,40.87,16.01,53.55,33.58,42.49,34.33,38.93,42.99,19.85,15.94,30.77,18.86,55.89,39.82,45.44,22.21,35.26,24.89,40.93,44.84,25.09,8.00,26.26,36.31,46.82,12.45,14.06,50.50,28.70,20.68,26.46,30.73,17.63,21.30,32.95,28.03,13.04,24.97,68.69,29.23,65.66,50.33,28.67,24.77,23.36,46.87,44.50,35.61,18.22,20.35,50.34,21.20,41.24,26.94
5,23.39,14.15,38.19,23.44,43.56,31.18,103.47,33.77,39.42,14.68,38.24,42.61,36.12,17.23,13.25,17.80,45.61,25.94,25.94,37.19,31.50,24.33,12.67,33.19,29.26,79.25,38.15,12.37,33.21,35.84,36.73,7.37,56.85,59.66,6.84,25.36,52.17,24.84,24.82,9.99,69.22,101.72,96.42,51.16,214.31,22.23,16.27,40.91,43.96,23.36,16.16,20.71,10.69,18.04,32.84,29.19,22.27,19.13,34.78,19.28,54.17,10.93,30.62,16.49,18.51,68.27,31.18,28.98,59.57,41.08,35.85,12.50,35.91,34.30,16.94,42.88,38.15,39.04,37.64,41.27,39.36,22.12,12.67,44.17,18.41,36.83,30.02,34.84,20.40,25.64,19.63,43.74,32.91,23.57,12.22,20.41,30.00,33.27,18.84,30.51,37.30,17.75,26.55,32.25,22.01,27.34,18.18,47.83,20.33,11.07,17.41,58.10,30.06,46.93,54.29,28.22,22.01,26.36,36.20,28.57,47.19,18.88,27.54,39.61,19.97,54.99,27.70
6,26.81,14.81,36.81,38.52,54.58,29.42,100.08,30.67,41.28,13.32,32.59,37.02,28.17,20.56,16.72,22.31,61.61,26.13,26.13,39.98,30.58,27.21,13.32,30.86,20.38,92.57,36.71,11.91,30.17,29.97,45.32,7.31,58.21,66.99,7.86,17.89,43.87,24.76,17.31,8.48,56.44,105.47,91.57,47.14,69.17,20.32,18.47,31.26,40.78,24.30,17.48,24.92,13.85,18.43,36.63,23.49,28.95,16.67,29.50,20.88,67.16,14.93,22.38,14.99,16.81,40.03,31.95,51.03,65.36,44.72,42.11,10.24,39.87,43.03,13.58,39.54,34.11,38.35,20.37,37.62,30.17,32.19,15.04,28.02,19.26,48.98,30.88,43.12,13.45,29.31,22.92,40.61,53.96,26.60,11.99,23.43,33.48,35.64,25.45,25.60,53.00,22.48,42.01,35.40,29.14,31.53,23.30,34.74,21.05,14.93,22.44,64.54,28.62,53.54,56.57,19.79,15.04,25.54,46.93,27.07,30.49,20.19,30.56,42.18,18.25,54.97,33.58
7,34.78,13.79,46.65,52.37,43.65,29.41,75.12,39.57,52.83,19.64,42.78,32.30,32.30,22.37,15.62,20.64,40.49,24.36,24.36,28.76,26.94,23.10,11.56,25.05,25.35,58.26,43.64,11.28,30.34,26.23,48.02,9.55,68.30,64.89,11.84,24.25,59.38,21.48,16.32,9.73,57.66,114.58,56.67,46.63,84.74,25.46,16.58,20.34,53.54,44.40,18.51,21.14,14.41,19.28,35.03,26.63,24.54,22.57,27.41,17.58,50.22,13.55,27.43,16.15,16.45,43.77,31.49,46.12,44.96,63.23,111.91,8.84,36.24,44.68,13.81,45.87,32.81,35.49,34.59,38.29,31.54,16.26,12.07,25.30,21.86,37.34,20.79,31.45,21.44,27.74,20.83,42.61,47.06,34.97,12.19,25.96,32.18,41.62,23.32,25.30,39.59,29.32,60.78,26.01,30.08,24.16,20.73,42.96,24.91,15.02,23.59,63.38,24.76,45.49,60.19,20.35,13.17,18.97,38.70,28.87,38.75,21.56,29.03,48.98,16.58,24.13,35.10
8,39.01,15.40,54.68,61.53,34.21,31.09,44.64,44.79,36.02,18.40,43.70,25.09,32.13,20.20,15.12,21.55,32.13,24.53,24.53,26.35,26.06,22.90,12.98,20.83,23.95,61.12,51.78,15.75,31.31,32.61,62.06,23.23,81.95,62.82,13.11,26.81,39.72,15.01,14.86,15.16,92.72,74.12,26.75,71.67,108.35,38.69,22.67,20.48,44.72,47.03,20.44,23.79,13.62,24.83,37.16,35.68,24.10,19.68,32.70,16.51,43.03,11.19,20.94,18.16,13.82,44.47,31.65,38.02,41.67,43.96,82.89,10.70,38.34,46.34,14.47,40.04,47.67,39.05,42.38,33.44,39.85,12.37,14.74,29.71,17.51,46.56,20.35,30.75,24.31,40.49,21.34,36.27,26.90,30.96,9.62,22.98,45.69,58.99,21.75,26.41,47.07,22.14,45.57,23.34,34.60,34.27,19.49,43.23,24.16,17.29,24.14,58.88,35.83,46.54,43.63,25.45,12.91,20.12,41.04,31.43,37.90,25.32,24.94,47.51,18.01,16.37,40.13
9,37.01,12.76,55.54,62.25,56.13,31.80,42.53,36.57,29.85,9.57,36.94,27.42,25.60,18.45,13.56,19.19,29.15,26.90,26.90,25.96,37.66,26.86,8.18,18.75,24.30,91.52,37.04,16.07,24.61,27.70,59.52,31.36,56.57,80.88,11.30,30.44,36.99,20.61,22.00,16.33,90.69,78.26,24.87,68.59,142.45,33.62,20.05,24.48,40.82,63.94,16.50,27.40,11.84,18.73,37.62,45.34,19.48,20.92,31.13,19.00,44.27,10.82,22.70,14.28,15.87,39.28,44.95,41.98,69.20,38.94,57.12,11.87,34.59,49.41,15.55,31.80,36.42,36.20,28.85,51.33,47.34,18.09,16.23,27.74,17.25,34.16,21.61,29.63,33.44,52.39,22.51,50.23,54.44,28.53,13.07,20.65,38.31,73.54,24.42,24.94,52.72,16.60,54.99,25.09,24.59,33.76,14.45,42.30,23.52,16.41,14.83,52.88,24.76,43.12,41.45,26.84,15.06,41.81,39.39,22.98,38.13,24.65,21.69,30.28,15.07,18.14,41.67
10,40.53,20.66,62.56,41.11,55.13,30.10,43.32,38.89,32.25,8.74,38.24,25.85,32.55,19.20,12.46,13.68,31.49,28.58,28.58,28.02,35.25,28.65,9.97,14.53,31.81,70.35,32.19,15.72,22.46,24.37,54.10,29.72,48.25,63.21,15.12,26.14,24.03,19.87,18.64,9.98,81.10,72.43,21.96,59.07,108.68,41.00,15.43,27.10,43.91,36.84,17.11,25.67,13.57,12.95,32.98,37.04,32.34,18.17,27.33,21.18,58.25,12.22,26.10,16.15,19.64,38.12,44.80,40.65,41.33,51.54,36.27,12.69,41.71,51.74,16.89,41.79,37.61,36.36,62.69,54.22,48.71,16.18,16.00,22.23,16.66,36.08,35.87,39.24,35.82,46.95,23.61,36.80,33.28,38.31,12.45,29.15,31.13,73.39,30.23,45.03,37.55,26.48,53.47,33.93,37.88,38.00,11.01,35.46,29.21,14.79,17.28,57.58,28.49,48.77,91.87,19.89,14.64,42.34,29.93,22.68,29.67,25.34,20.64,57.17,15.80,19.27,39.05
