 ,Mean1
1,181.104
2,184.364
3,206.953
4,195.111
5,189.320
6,202.269
7,191.658
8,193.773
9,196.400
10,194.851
11,204.253
12,179.451
13,185.331
14,197.147
15,187.253
16,184.024
17,183.340
18,190.902
19,185.951
20,190.887
21,186.649
22,182.931
23,198.662
24,193.429
25,188.473
26,198.367
27,178.687
28,184.840
29,187.696
30,182.784
31,191.198
32,180.611
33,193.524
34,188.933
35,189.140
36,172.507
37,181.273
38,191.707
39,179.093
40,180.502
41,169.109
42,175.007
43,169.560
44,187.947
45,175.638
46,178.022
47,175.124
48,181.427
49,182.238
50,182.260
51,199.196
52,187.600
53,178.027
54,190.589
55,171.342
56,191.753
57,195.691
58,179.380
59,172.349
60,178.124
61,184.149
62,187.809
63,191.198
64,179.769
65,200.353
66,198.616
67,183.100
68,183.449
69,189.167
70,189.482
71,180.682
72,177.842
73,178.047
74,170.258
75,188.787
76,173.047
77,184.753
78,183.920
79,187.789
80,185.949
81,177.778
82,171.960
83,191.287
84,176.953
85,187.869
86,178.704
87,178.542
88,181.216
89,192.469
90,189.320
91,194.371
92,170.976
93,169.900
94,184.140
95,185.578
96,183.173
97,190.238
98,183.902
99,182.402
100,195.113
101,173.620
102,181.596
103,184.284
104,172.924
105,178.356
106,177.456
107,176.238
108,184.393
109,182.016
110,184.716
111,172.869
112,169.836
113,175.553
114,163.547
115,186.178
116,178.636
117,174.791
118,176.600
119,175.204
120,180.742
121,171.176
122,170.207
123,166.556
124,173.089
125,170.876
126,173.520
127,167.496
128,168.551
129,177.511
130,156.920
131,159.593
132,152.682
133,169.513
134,164.927
135,162.769
136,171.838
137,172.011
138,171.313
139,172.222
140,184.118
141,188.953
142,199.473
143,186.300
144,190.073
145,177.998
146,195.733
147,192.593
148,196.147
149,199.742
150,197.284
151,185.109
152,195.029
153,189.967
154,186.969
155,193.982
156,206.949
157,200.511
158,192.487
159,184.727
160,192.900
161,187.698
162,184.760
163,193.484
164,183.738
165,194.398
166,185.651
167,192.936
168,187.967
169,190.560
170,189.238
171,194.151
172,200.342
173,196.298
174,195.902
175,198.956
176,196.540
177,193.120
178,187.411
179,198.702
180,184.078
181,194.116
182,200.140
183,177.749
184,188.489
185,211.549
186,182.022
187,184.049
188,200.564
189,192.064
190,196.418
191,210.842
192,195.351
193,182.733
194,178.380
195,207.633
196,207.896
197,180.316
198,190.804
199,196.158
200,196.838
201,182.173
202,189.802
203,199.216
204,181.098
205,195.749
206,193.653
207,198.722
208,199.907
209,188.393
210,183.058
211,190.071
212,206.809
213,197.167
214,191.669
215,184.298
216,180.660
217,179.267
218,189.680
219,195.702
220,193.678
221,192.136
222,181.756
223,191.062
224,196.098
225,184.564
226,212.940
227,204.316
228,202.209
229,204.413
230,213.358
231,182.300
232,197.938
233,191.147
234,201.878
235,214.949
236,183.562
237,188.547
238,193.796
239,191.876
240,192.911
241,193.607
242,194.498
243,179.096
244,193.884
245,206.387
246,197.720
247,206.409
248,189.700
249,185.364
250,192.869
251,198.229
252,192.424
253,203.251
254,207.202
255,203.282
256,184.973
257,194.462
258,200.536
259,192.571
260,200.098
261,190.376
262,191.360
263,204.202
264,193.633
265,175.678
266,189.547
267,213.449
268,200.729
269,191.840
270,194.816
271,206.958
272,185.682
273,207.009
274,201.360
275,211.238
276,210.309
277,201.733
278,194.202
279,197.276
280,198.853
281,193.927
282,194.578
283,181.653
284,192.460
285,194.869
286,198.680
287,197.142
288,201.729
289,197.089
290,184.531
291,204.351
292,196.502
293,197.989
294,202.998
295,203.396
296,175.667
297,195.309
298,180.940
299,205.609
300,198.229
301,183.591
302,178.347
303,186.971
304,193.944
305,187.522
306,200.589
307,206.056
308,190.773
309,185.909
310,187.740
311,192.340
312,195.171
313,178.842
314,190.153
315,185.482
316,193.511
317,185.136
