 ,Mean,Ch,microns
1,626.545,1,0
2,621.334,2,1
3,619.371,3,2
4,617.400,4,3
5,620.250,5,4
6,620.641,6,5
7,620.299,7,6
8,619.390,8,7
9,618.329,9,8
10,618.148,10,9
11,618.023,11,10
12,617.342,12,11
13,616.146,13,12
14,616.308,14,13
15,612.525,15,14
16,610.189,16,15
17,615.744,17,16
18,616.646,18,17
19,617.974,19,18
20,619.553,20,19
21,620.588,21,20
22,622.044,22,21
23,621.403,23,22
24,621.844,24,23
25,619.725,25,24
26,620.408,26,25
27,619.325,27,26
28,618.835,28,27
29,620.066,29,28
30,620.321,30,29
31,622.497,31,30
32,619.389,32,31
33,619.059,33,32
34,619.316,34,33
35,621.404,35,34
36,621.717,36,35
37,621.753,37,36
38,621.241,38,37
39,618.091,39,38
40,616.008,40,39
41,615.511,41,40
42,612.279,42,41
43,614.407,43,42
44,613.248,44,43
45,615.073,45,44
46,617.767,46,45
47,615.638,47,46
48,617.974,48,47
49,618.128,49,48
50,619.125,50,49
51,618.976,51,50
52,620.700,52,51
53,622.627,53,52
54,622.069,54,53
55,623.616,55,54
56,624.400,56,55
57,624.715,57,56
58,624.189,58,57
59,625.789,59,58
60,626.700,60,59
61,629.557,61,60
62,630.382,62,61
63,629.667,63,62
64,627.680,64,63
65,625.187,65,64
66,623.091,66,65
67,623.126,67,66
68,620.890,68,67
69,623.243,69,68
70,625.173,70,69
71,626.552,71,70
72,627.327,72,71
73,627.814,73,72
74,628.304,74,73
75,628.271,75,74
76,623.593,76,75
77,624.222,77,76
78,621.070,78,77
79,621.538,79,78
80,623.892,80,79
81,625.744,81,80
82,628.235,82,81
83,629.251,83,82
84,629.652,84,83
85,632.294,85,84
86,630.810,86,85
87,632.875,87,86
88,637.281,88,87
89,641.052,89,88
90,641.476,90,89
91,639.207,91,90
92,640.121,92,91
93,638.497,93,92
94,637.836,94,93
95,638.947,95,94
96,640.750,96,95
97,639.817,97,96
98,641.541,98,97
99,641.632,99,98
100,638.788,100,99
101,636.265,101,100
102,635.146,102,101
103,636.039,103,102
104,634.716,104,103
105,636.640,105,104
106,637.596,106,105
107,634.868,107,106
108,638.794,108,107
109,638.175,109,108
110,641.037,110,109
111,641.155,111,110
112,641.358,112,111
113,641.952,113,112
114,646.440,114,113
115,644.096,115,114
116,645.023,116,115
117,643.888,117,116
118,641.961,118,117
119,641.491,119,118
120,641.951,120,119
121,641.676,121,120
122,640.213,122,121
123,638.618,123,122
124,639.914,124,123
125,639.509,125,124
126,637.452,126,125
127,638.960,127,126
128,642.776,128,127
129,641.959,129,128
130,644.814,130,129
131,646.657,131,130
132,647.128,132,131
133,645.215,133,132
134,643.173,134,133
135,643.348,135,134
136,642.771,136,135
137,642.401,137,136
138,641.296,138,137
139,640.770,139,138
140,640.867,140,139
141,641.959,141,140
142,646.471,142,141
143,646.099,143,142
144,644.152,144,143
145,645.733,145,144
146,645.970,146,145
147,643.078,147,146
148,642.572,148,147
149,642.308,149,148
150,641.767,150,149
151,643.423,151,150
152,644.175,152,151
153,643.137,153,152
154,646.857,154,153
155,651.049,155,154
156,652.894,156,155
157,651.800,157,156
158,648.905,158,157
159,649.053,159,158
160,649.081,160,159
161,649.357,161,160
162,650.818,162,161
163,650.490,163,162
164,652.735,164,163
165,652.379,165,164
166,650.729,166,165
167,651.923,167,166
168,651.679,168,167
169,652.153,169,168
170,654.960,170,169
171,656.063,171,170
172,652.865,172,171
173,651.675,173,172
174,652.525,174,173
175,654.187,175,174
176,652.321,176,175
177,650.959,177,176
178,651.616,178,177
179,653.131,179,178
180,656.096,180,179
181,651.298,181,180
182,654.854,182,181
183,654.771,183,182
184,657.096,184,183
185,656.810,185,184
186,655.401,186,185
187,656.119,187,186
188,654.920,188,187
189,657.662,189,188
190,659.129,190,189
191,659.081,191,190
192,657.878,192,191
193,659.468,193,192
194,658.274,194,193
195,655.540,195,194
196,655.198,196,195
197,657.484,197,196
198,659.227,198,197
199,659.449,199,198
200,660.018,200,199
201,660.100,201,200
202,658.770,202,201
203,656.763,203,202
204,657.412,204,203
205,655.202,205,204
206,656.967,206,205
207,657.766,207,206
208,658.287,208,207
209,656.205,209,208
210,658.256,210,209
211,658.080,211,210
212,661.479,212,211
